0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:53:56 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:53:56 +0900] "GET /Web_Project/CSS/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:47:55 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:48:06 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:48:09 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:49:11 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:49:12 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:49:12 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:49:19 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:49:20 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:49:39 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:50:27 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:50:39 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:50:39 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:50:39 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:50:42 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:51:59 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:52:20 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:52:21 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:52:33 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:52:42 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:53:16 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:53:26 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:53:26 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:54:16 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:59:29 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [16/Mar/2018:10:59:41 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1644
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:00:49 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1681
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:01:20 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:01:31 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:01:32 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:01:33 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:01:33 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:02:18 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:02:19 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:02:53 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:02:54 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:02:54 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:02:54 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:02:55 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:04:48 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:04:48 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:04:48 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:04:48 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:04:49 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:04:49 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:04:49 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:04:49 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:05:05 +0900] "GET /Web_Project/CSS/exam02.html HTTP/1.1" 200 1817
